SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Papp(PAMPA)(qualitative),pH,UNIT {pH},Temperature,UNIT {Temperature},comment (chemical)
NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C(Cl)Cl)C=C1Cl,133-67-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",338,trichlormethiazide,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(=CC=C1)N(CC2=CC=CC=C2)CCN(C)C,91-81-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",346,Tripelennamine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(=O)C2=C(N=C(N2N=C1C3=CC(=CC=C3OCC)S(=O)(=O)N4CCN(CC)CC4)CCC)C,224785-90-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",351,vardenafil,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CCC2CN3CCC4=C(NC5=CC=CC=C45)C3CC2C1C(=O)OC,146-48-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",354,Yohimbine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCCOCN1C=NC2=C1N=C(N)NC2=O,59277-89-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",397,Aciclovir,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C=C(C=CC=C(C=CC1=C(C=C(OC)C(=C1C)C)C)C)C,55079-83-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",398,Acitretin,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C=NC=2NN=CC2C1=O,315-30-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",407,allopurinol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CCC(NCC2=CC(Br)=CC(Br)=C2N)CC1,18683-91-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",412,Ambroxol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C(C=C1)N2N(C(=C(N(C)C)C2=O)C)C,58-15-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",416,aminophenazone,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C(=C1C2=CC=CC=C2CCC3=CC=CC=C13)CCN(C)C,50-48-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",422,Amitriptyline,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1CCN(C2=NC3=CC=CC=C3OC4=CC=C(Cl)C=C24)CC1,14028-44-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",433,Amoxapine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=C(N(N(C1=O)C2=CC=CC=C2)C)C,60-80-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",436,Antipyrine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C1=NC2=CC=CC=C2N1CC3=CC=C(F)C=C3)C4CCN(CCC5=CC=C(OC)C=C5)CC4,68844-77-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",444,astemizole,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2C(=NN(C(=O)C2=C1)C3CCN(C)CCC3)CC4=CC=C(Cl)C=C4,58581-89-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",449,azelastine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CC2(C)C(CC(C)C2(OC(=O)CC)C(=O)COC(=O)CC)C3CCC4=CC(=O)C=CC4(C)C13Cl,08/09/5534,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",453,BECLOMETHASONE DIPROPIONATE,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=C(Br)C=C(C=C1Br)C(=O)C2=C(OC3=CC=CC=C23)CC,3562-84-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",458,Benzbromarone,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CC=CC=C1,65-85-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",468,Benzoic acid,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C)CCC1=NC=CC=C1,5638-76-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",474,betahistine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(COC1=CC=C(C=C1)CCOCC2CC2)CNC(C)C,63659-18-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",479,betaxolol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F)(C)CS(=O)(=O)C2=CC=C(F)C=C2,90357-06-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",486,Bicalutamide,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(=CC=C1)C(C2=CC=C(OC(=O)C)C=C2)C3=CC=C(OC(=O)C)C=C3,603-50-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",489,bisacodyl,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(COC1=CC=C(C=C1)COCCOC(C)C)CNC(C)C,66722-44-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",495,Bisoprolol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCC(=O)C12OC(OC1CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC23C)CCC,51333-22-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",501,Budesonide,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC=2N(C(=O)N(C(=O)C2N1C)C)C,58-08-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",511,Caffeine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(N=CC1=C[N+]([O-])=C2C=CC=CC2=[N+]1[O-])C(=O)OC,05/07/6804,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",517,Carbadox,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C13,298-46-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",522,carbamazepine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(COC1=CC=CC=2NC=3C=CC=CC3C12)CNCCOC4=CC=CC=C4OC,72956-09-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",525,Carvedilol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=C(C)CSC2N1C(=O)C2NC(=O)C(N)C3=CC=C(O)C=C3,50370-12-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",535,Cefadroxil,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O,56-75-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",540,Chloramphenicol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=C2C(Cl)=CC3C4CCC(OC(=O)C)(C(=O)C)C4(C)CCC3C2(C)CCC1=O,302-22-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",546,chlormadinone acetate,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C=1C=CN=C2C=C(Cl)C=CC12)C(C)CCCN(CC)CC,54-05-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",551,Chloroquine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(=CC=C1)C(C2=CC=C(Cl)C=C2)CCN(C)C,132-22-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",556,Chlorphenamine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2N(C3=CC(Cl)=CC=C3SC2=C1)CCCN(C)C,50-53-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",565,Chlorpromazine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=NN(C2=CC=3OCOC3C=C2C1=O)CC,28657-80-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",568,Cinoxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN(C2=CC(N3CCNCC3)=C(F)C=C2C1=O)C4CC4,85721-33-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",573,Ciprofloxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC(C#N)=CC2=C1C(OC2)(C3=CC=C(F)C=C3)CCCN(C)C,59729-33-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",582,Citalopram,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2C(=C1)N(C3=CC(Cl)=CC=C3CC2)CCCN(C)C,303-49-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",586,Clomipramine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C1=NCCN1)C2=C(Cl)C=CC=C2Cl,4205-90-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",590,Clonidine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C2=CC=C(Cl)C=C2N=C(N3CCN(C)CC3)C4=CC=CC=C14,5786-21-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",601,Clozapine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CC(=O)C2=C(OCC(O)COC3=CC=CC=4OC(=CC(=O)C34)C(=O)O)C=CC=C2O1,16110-51-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",603,Cromoglicic acid,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN(C2=CC(N3CC4N(C)CC3C4)=C(F)C=C2C1=O)C5CC5,112398-08-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",612,danofloxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(N)C=C2,80-08-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",617,dapsone,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C13,50-47-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",625,Desipramine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,50-02-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",629,Dexamethasone,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl,15307-86-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",635,Diclofenac,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1N2C(=O)C(NC(=O)C=3C(=NOC3C)C4=C(Cl)C=CC=C4Cl)C2SC1(C)C,3116-76-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",641,Dicloxacillin,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN(C2=CC=C(F)C=C2)C3=CC(N4CCN(C)CC4)=C(F)C=C3C1=O,98106-17-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",646,difloxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CC(=CC=C1O)C2=CC=C(F)C=C2F,22494-42-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",650,Diflunisal,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC12OC(NC(=O)C3CN(C)C4CC5=CNC6=CC=CC(=C56)C4C3)(C(=O)N1C(C(=O)N7CCCC27)CC8=CC=CC=C8)C,511-12-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",657,Dihydroergotamine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2N(C(=O)C(OC(=O)C)C(SC2=C1)C3=CC=C(OC)C=C3)CCN(C)C,42399-41-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",664,Diltiazem,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(=CC=C1)C(C2=C(CCN(C)C)CC3=CC=CC=C23)C,5636-83-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",670,Dimetindene,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC(=O)C(C1=NC=CC=C1)(C2=CC=CC=C2)CCN(C(C)C)C(C)C,05/09/3737,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",678,Disopyramide,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C=1NC2=CC=CC=C2C1C(=O)OC3CC4N5CC(=O)C(C4)CC5C3,115956-12-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",682,dolasetron,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(=O)N(C2=CC=CC=C12)CCCN3CCC(N4C(=O)NC5=CC(Cl)=CC=C45)CC3,57808-66-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",691,domperidone,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC=1N=C(N=C2C=C(OC)C(OC)=CC12)N3CCN(C(=O)C4OC5=CC=CC=C5OC4)CC3,74191-85-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",695,doxazosin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C(=C1C2=CC=CC=C2OCC3=CC=CC=C13)CCN(C)C,1668-19-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",702,Doxepin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN(C2=NC(N3CCNCC3)=C(F)C=C2C1=O)CC,74011-58-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",707,enoxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN(C2=CC(N3CCN(CC)CC3)=C(F)C=C2C1=O)C4CC4,93106-60-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",712,enrofloxacin,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC=C2C(=C1)CCC3C4CCC(O)(C#C)C4(C)CCC23,57-63-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",721,ethinyl estradiol,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(C2=CN=C(C=C2)C)=C(C=C1Cl)C3=CC=C(C=C3)S(=O)(=O)C,202409-33-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",723,Etoricoxib,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N=C(N)NC1=NC(=CS1)CSCCC(=NS(=O)(=O)N)N,76824-35-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",733,Famotidine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC=C(C=C1)CC(NCC(O)C2=CC(O)=CC(O)=C2)C,13392-18-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",738,Fenoterol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(C1=CC=C(F)C=C1F)(CN2N=CN=C2)CN3N=CN=C3,86386-73-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",743,Fluconazole,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN2C3=C(C=C(F)C=C3CCC2C)C1=O,42835-25-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",748,Flumequine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC=C2C(OC3=CC(O)=CC=C3C24OC(=O)C5=CC=CC=C45)=C1,05/07/2321,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",752,fluorescein,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)C(C)C)C1=CC=C(C(=C1)C(F)(F)F)[N+]([O-])=O,13311-84-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",763,Flutamide,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NCCON=C(C1=CC=C(C=C1)C(F)(F)F)CCCCOC,54739-18-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",766,fluvoxamine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CC(=C(Cl)C=C1NCC=2OC=CC2)S(=O)(=O)N,54-31-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",771,Furosemide,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C(C)(C)CCCOC1=CC(=CC=C1C)C,25812-30-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",779,gemfibrozil,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N=C(N)NN=CC1=C(Cl)C=CC=C1Cl,5051-62-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",786,Guanabenz,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1(C2=CC=C(Cl)C=C2)CCN(CCCC(=O)C3=CC=C(F)C=C3)CC1,52-86-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",789,Haloperidol,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NNC=1N=NC=C2C=CC=CC12,86-54-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",794,Hydralazine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,58-93-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",800,Hydrochlorothiazide,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCCN(CC)CCCC(NC=1C=CN=C2C=C(Cl)C=CC12)C,118-42-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",808,Hydroxychloroquine,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
